ds,yhat,yhat_lower,yhat_upper
2020-01-02,1541.9440017611548,1475.388208975718,1600.709375866418
2020-01-03,1543.1071912574923,1479.866505423233,1607.0519661136814
2020-01-06,1543.0547870299085,1481.8493907916504,1609.1038527185094
2020-01-07,1545.8874945554003,1480.1021894407988,1604.2834917048344
2020-01-08,1545.1549502054193,1483.3239529546572,1605.1069595346323
2020-01-09,1546.3411922260661,1486.8056726269958,1610.7360436011472
2020-01-10,1546.0869519185426,1485.992242034878,1607.274538744597
2020-01-13,1545.9156554234469,1479.191221563518,1616.6519915507106
2020-01-14,1549.4905433253844,1484.6810086720263,1613.6200349683363
2020-01-15,1550.7807782164816,1485.5797558515972,1618.6966092536243
2020-01-16,1552.753786478027,1491.1815325350142,1615.5303062139742
2020-01-17,1553.1362083187294,1489.028897757229,1615.8129841445834
2020-01-21,1557.7782454676471,1497.6916871938038,1623.0668907288932
2020-01-22,1558.384695072032,1493.2427688961857,1622.2939588350139
2020-01-23,1559.1638589279535,1496.9232048498359,1624.0499859457857
2020-01-24,1558.5637576906909,1491.989467410315,1622.4555450206274
2020-01-27,1558.3803712755246,1493.7430373674827,1618.0326609942438
2020-01-28,1561.851020224915,1501.090202545554,1625.1528053430293
2020-01-29,1562.9593517673015,1497.005972782036,1626.4767255574895
2020-01-30,1563.2129326567213,1496.2308144823483,1621.576518967601
2020-01-31,1562.5961897400791,1500.3793522643723,1628.119416357553
2020-02-03,1560.3452954309525,1494.350180931764,1629.0125726829995
2020-02-04,1562.6666345915114,1497.212957583648,1623.3906329750532
2020-02-05,1564.0360397954787,1502.5040308489326,1631.004696468089
2020-02-06,1564.6603842050527,1497.928379969496,1627.9760727669486
2020-02-07,1563.5410225815695,1498.9977085045218,1624.997624683416
2020-02-10,1560.8531216708195,1496.1815066819868,1626.624876316567
2020-02-11,1563.6561566518105,1498.8310974945693,1627.976011505057
2020-02-12,1565.1225234070962,1502.893108399018,1623.5676582110837
2020-02-13,1565.944121484997,1503.3851397486815,1626.905967214303
2020-02-14,1565.9353417484074,1501.4848322581283,1628.975850860157
2020-02-18,1568.6632112000225,1504.4560090594632,1633.1964405711842
2020-02-19,1570.9791367013256,1506.61989238027,1628.9765384571822
2020-02-20,1572.8717011775925,1507.9397651467955,1631.286419425895
2020-02-21,1573.1633636965464,1510.5481538060383,1640.364911097188
2020-02-24,1574.3391895279683,1511.003451810919,1639.7203019743454
2020-02-25,1577.6465540127447,1514.9381543545385,1639.8911426029651
2020-02-26,1579.3335947143955,1517.2716910716501,1642.2535611357719
2020-02-27,1580.7134802834978,1516.809603381177,1642.1796804305359
2020-02-28,1580.5404268611967,1516.0159185659327,1643.4303161554155
2020-03-02,1586.0253054876605,1523.198288434846,1653.036429457247
2020-03-03,1590.9597203343503,1528.0579976771717,1654.0035915706997
2020-03-04,1593.3835283276408,1526.1305861161536,1653.8436712224175
2020-03-05,1595.3798861719254,1532.2650747405123,1660.6491428587317
2020-03-06,1593.737134140577,1529.3274816222572,1658.9862093243382
2020-03-09,1590.8870105817887,1524.8200106509914,1654.621589424144
2020-03-10,1597.379554376846,1533.058416236993,1661.8511821012025
2020-03-11,1598.8892156161617,1534.5727478127972,1662.7540116098335
2020-03-12,1600.2240346061853,1538.000262509914,1664.6111938717818
2020-03-13,1601.4888184060953,1542.003590064987,1670.2051135403294
2020-03-16,1602.9672396687147,1542.6689323672365,1664.5745879212511
2020-03-17,1606.3469269266966,1538.308854197344,1670.4798207682825
2020-03-18,1604.7416942253326,1540.7185258020068,1665.7752667258374
2020-03-19,1610.6021225050588,1544.6047350656806,1670.1493701084944
2020-03-20,1610.4873120472528,1546.7426522103287,1676.6207324214613
2020-03-23,1617.301361054445,1549.5647124563545,1682.9474873835218
2020-03-24,1623.486747491876,1564.0178177474243,1683.8541797200412
2020-03-25,1627.8555684398316,1565.5962545297255,1690.1615929831812
2020-03-26,1630.8542636379186,1567.3256952578108,1692.3908740720433
2020-03-27,1633.4566038954779,1564.1877136734706,1698.9494488597754
2020-03-30,1643.8829661937461,1578.3026277888468,1703.9671678972813
2020-03-31,1651.5967205547934,1585.1605156554815,1715.0619766031107
2020-04-01,1657.17079364549,1588.7907479592889,1721.3271970945677
2020-04-02,1666.1680616112806,1605.6760075673244,1732.6743094963222
2020-04-03,1672.8114739650584,1609.2301452393795,1732.6441103863763
2020-04-06,1685.5829130425977,1628.844605938927,1752.4871752578501
2020-04-07,1691.9055065680102,1627.1396108918364,1751.476910939148
2020-04-08,1698.6947655037736,1632.1297990911432,1763.5047299369555
2020-04-09,1702.771591329979,1637.5345495140807,1762.6103380524155
2020-04-13,1717.6100265548623,1656.7236109777925,1780.3781108408864
2020-04-14,1722.2851483361535,1660.3880985779888,1783.1490414075674
2020-04-15,1725.9471724856694,1662.0083701275075,1788.4582994262614
2020-04-16,1729.261841041083,1666.0267124058555,1793.7119639647728
2020-04-17,1729.9346770518819,1668.7856100499414,1797.2825301282583
2020-04-20,1696.103391408753,1635.664717466281,1757.5726814438158
2020-04-21,1730.2401718779977,1664.4895390000067,1793.2283816664135
